iter	Passed	Remaining
0	0	60
1	1	55
2	1	52
3	1	47
4	2	47
5	2	45
6	3	47
7	4	48
8	4	47
9	5	46
10	5	45
11	6	46
12	6	46
13	7	45
14	7	44
15	8	43
16	8	42
17	9	41
18	9	40
19	9	39
20	10	39
21	10	38
22	11	37
23	11	36
24	12	36
25	12	36
26	13	35
27	13	34
28	14	34
29	14	33
30	14	33
31	15	32
32	16	32
33	16	32
34	16	31
35	17	31
36	18	30
37	18	30
38	19	30
39	19	29
40	20	29
41	20	28
42	20	27
43	21	27
44	21	26
45	22	26
46	23	25
47	23	25
48	23	24
49	24	24
50	25	24
51	25	23
52	26	23
53	26	22
54	26	21
55	27	21
56	27	20
57	28	20
58	28	19
59	29	19
60	29	18
61	29	18
62	30	17
63	30	17
64	31	16
65	31	16
66	32	15
67	32	15
68	33	14
69	33	14
70	34	14
71	34	13
72	35	13
73	35	12
74	36	12
75	36	11
76	36	10
77	37	10
78	37	10
79	38	9
80	38	9
81	39	8
82	39	8
83	40	7
84	41	7
85	41	6
86	42	6
87	42	5
88	43	5
89	43	4
90	44	4
91	44	3
92	45	3
93	45	2
94	46	2
95	46	1
96	47	1
97	47	0
98	47	0
99	48	0
