iter	Passed	Remaining
0	66	66769
1	70	35386
2	72	24203
3	74	18479
4	75	15088
5	76	12676
6	77	10974
7	79	9826
8	80	8836
9	81	8022
10	81	7362
11	82	6828
12	85	6505
13	86	6088
14	87	5747
15	88	5433
16	89	5151
17	89	4906
18	91	4713
19	92	4535
20	93	4347
21	95	4242
22	96	4084
23	96	3933
24	97	3800
25	102	3838
26	103	3720
27	118	4103
28	119	4003
29	120	3885
30	121	3791
31	122	3692
32	127	3732
33	128	3646
34	129	3560
35	130	3507
36	132	3438
37	133	3383
38	139	3443
39	230	5537
40	238	5569
41	272	6209
42	280	6235
43	281	6106
44	282	5987
45	284	5893
46	288	5853
47	289	5751
48	293	5696
49	294	5601
50	332	6180
51	332	6065
52	334	5974
53	335	5875
54	337	5799
55	338	5707
56	339	5616
57	342	5562
58	349	5571
59	349	5482
60	350	5401
61	351	5321
62	354	5272
63	355	5201
64	356	5132
65	360	5108
66	361	5034
67	389	5336
68	396	5348
69	397	5279
70	445	5823
71	446	5760
72	450	5722
73	452	5662
74	454	5609
75	478	5818
76	479	5745
77	507	6002
78	519	6058
79	520	5991
80	523	5939
81	524	5867
82	524	5793
83	586	6397
84	619	6665
85	622	6614
86	626	6574
87	627	6503
88	628	6431
89	630	6375
90	631	6303
91	631	6233
92	632	6163
93	632	6096
94	633	6034
95	634	5972
96	635	5913
97	636	5855
98	644	5863
99	645	5812
100	660	5876
101	660	5819
102	675	5883
103	699	6030
104	702	5985
105	703	5937
106	706	5892
107	713	5891
108	716	5856
109	730	5907
110	732	5865
111	734	5819
112	734	5767
113	742	5768
114	745	5738
115	747	5693
116	747	5641
117	783	5857
118	784	5808
119	786	5770
120	787	5721
121	851	6131
122	1103	7871
123	1188	8393
124	1369	9584
125	1390	9644
126	1395	9593
127	1424	9702
128	1469	9924
129	1512	10122
130	1546	10259
131	1550	10194
132	1552	10118
133	1558	10072
134	1559	9990
135	1566	9949
136	1567	9872
137	1584	9894
138	1588	9838
139	1589	9761
140	1589	9684
141	1589	9606
142	1591	9536
143	1595	9484
144	1613	9516
145	1616	9453
146	1619	9396
147	1623	9343
148	1624	9278
149	1625	9208
150	1625	9140
151	1626	9073
152	1627	9007
153	1629	8949
154	1629	8884
155	1630	8821
156	1631	8760
157	1633	8706
158	1636	8655
159	1636	8593
160	1637	8531
161	1637	8471
162	1638	8412
163	1641	8367
164	1642	8310
165	1650	8291
166	1651	8236
167	1652	8182
168	1653	8128
169	1653	8073
170	1654	8020
171	1655	7967
172	1655	7914
173	1656	7862
174	1656	7810
175	1658	7764
176	1658	7713
177	1659	7663
178	1671	7667
179	1672	7621
180	1673	7573
181	1674	7526
182	1675	7480
183	1684	7468
184	1685	7423
185	1687	7386
186	1691	7353
187	1692	7310
188	1693	7267
189	1694	7224
190	1699	7198
191	1708	7188
192	1708	7144
193	1709	7102
194	1710	7060
195	1710	7018
196	1711	6976
197	1712	6934
198	1712	6893
199	1713	6853
200	1718	6829
201	1719	6791
202	1720	6756
203	1724	6728
204	1727	6698
205	1727	6660
206	1728	6621
207	1737	6614
208	1737	6577
209	1739	6543
210	1740	6506
211	1741	6471
212	1741	6435
213	1742	6398
214	1743	6367
215	1744	6332
216	1745	6299
217	1753	6289
218	1754	6257
219	1756	6228
220	1764	6219
221	1773	6216
222	1774	6184
223	1775	6151
224	1783	6143
225	1784	6111
226	1785	6079
227	1786	6047
228	1789	6026
229	1794	6007
230	1795	5976
231	1795	5944
232	1796	5912
233	1809	5922
234	1810	5893
235	1810	5862
236	1811	5832
237	1812	5803
238	1813	5775
239	1817	5755
240	1818	5727
241	1820	5702
242	1847	5753
243	1847	5724
244	1859	5730
245	1863	5710
246	1863	5681
247	1864	5652
248	1865	5627
249	1866	5600
250	1867	5573
251	1868	5545
252	1869	5520
253	1873	5502
254	1875	5480
255	1876	5453
256	1878	5431
257	1881	5410
258	1882	5385
259	1886	5370
260	1888	5347
261	1889	5322
262	1890	5298
263	1892	5275
264	1899	5268
265	1900	5243
266	1905	5231
267	1907	5209
268	1910	5192
269	1911	5167
270	1918	5161
271	1919	5137
272	1921	5116
273	1922	5093
274	1922	5069
275	1941	5093
276	1981	5170
277	1981	5147
278	1984	5127
279	1994	5129
280	1997	5109
281	1999	5089
282	2006	5083
283	2007	5059
284	2025	5082
285	2026	5059
286	2083	5175
287	2089	5164
288	2092	5146
289	2093	5124
290	2094	5102
291	2096	5083
292	2104	5078
293	2121	5095
294	2122	5073
295	2125	5056
296	2127	5036
297	2129	5017
298	2130	4994
299	2137	4988
300	2153	5001
301	2209	5107
302	2211	5087
303	2212	5064
304	2212	5042
305	2214	5022
306	2214	4999
307	2215	4977
308	2217	4959
309	2219	4940
310	2221	4921
311	2232	4923
312	2234	4905
313	2242	4899
314	2274	4945
315	2275	4926
316	2276	4904
317	2276	4882
318	2277	4861
319	2281	4847
320	2282	4827
321	2284	4809
322	2286	4791
323	2328	4858
324	2329	4838
325	2335	4828
326	2338	4812
327	2339	4792
328	2339	4771
329	2340	4752
330	2341	4732
331	2341	4711
332	2342	4692
333	2345	4677
334	2346	4657
335	2347	4638
336	2352	4628
337	2353	4610
338	2354	4590
339	2355	4572
340	2357	4556
341	2358	4537
342	2361	4523
343	2376	4530
344	2376	4512
345	2377	4494
346	2378	4476
347	2379	4457
348	2386	4451
349	2387	4433
350	2390	4420
351	2391	4402
352	2424	4443
353	2426	4428
354	2427	4410
355	2439	4412
356	2451	4415
357	2469	4428
358	2481	4430
359	2482	4413
360	2483	4395
361	2483	4377
362	2484	4359
363	2485	4342
364	2486	4325
365	2487	4308
366	2487	4290
367	2503	4299
368	2504	4282
369	2505	4266
370	2506	4249
371	2512	4240
372	2513	4225
373	2516	4212
374	2519	4198
375	2520	4182
376	2520	4165
377	2525	4155
378	2540	4162
379	2543	4149
380	2543	4133
381	2544	4116
382	2545	4100
383	2546	4084
384	2556	4084
385	2557	4068
386	2564	4061
387	2566	4048
388	2568	4033
389	2569	4018
390	2569	4002
391	2570	3986
392	2570	3970
393	2571	3954
394	2572	3939
395	2572	3924
396	2573	3909
397	2574	3893
398	2574	3878
399	2575	3863
400	2576	3848
401	2578	3835
402	2579	3820
403	2579	3805
404	2580	3790
405	2580	3776
406	2582	3762
407	2582	3747
408	2588	3740
409	2589	3726
410	2590	3712
411	2591	3698
412	2592	3684
413	2592	3670
414	2593	3655
415	2593	3641
416	2594	3627
417	2595	3613
418	2595	3599
419	2597	3586
420	2598	3573
421	2599	3560
422	2600	3547
423	2601	3534
424	2605	3525
425	2606	3511
426	2608	3499
427	2608	3486
428	2609	3472
429	2612	3463
430	2613	3449
431	2613	3436
432	2616	3425
433	2631	3432
434	2632	3419
435	2638	3412
436	2638	3399
437	2639	3386
438	2640	3373
439	2640	3360
440	2641	3348
441	2641	3335
442	2642	3322
443	2643	3310
444	2643	3297
445	2644	3284
446	2644	3272
447	2645	3259
448	2645	3247
449	2646	3234
450	2647	3222
451	2647	3210
452	2648	3198
453	2651	3188
454	2652	3176
455	2653	3165
456	2654	3153
457	2654	3141
458	2656	3130
459	2656	3118
460	2657	3106
461	2663	3102
462	2664	3090
463	2664	3078
464	2672	3074
465	2673	3063
466	2677	3056
467	2678	3044
468	2680	3034
469	2681	3024
470	2685	3016
471	2691	3010
472	2693	3000
473	2694	2989
474	2697	2981
475	2699	2971
476	2710	2971
477	2711	2961
478	2712	2950
479	2712	2938
480	2713	2927
481	2714	2917
482	2715	2906
483	2716	2895
484	2717	2885
485	2718	2874
486	2725	2870
487	2726	2861
488	2729	2852
489	2733	2845
490	2736	2836
491	2737	2826
492	2738	2815
493	2740	2806
494	2740	2796
495	2741	2785
496	2741	2775
497	2742	2764
498	2742	2753
499	2743	2743
500	2744	2733
501	2746	2724
502	2747	2714
503	2748	2705
504	2750	2695
505	2776	2710
506	2776	2700
507	2777	2690
508	2778	2680
509	2779	2670
510	2780	2660
511	2781	2650
512	2822	2679
513	2823	2669
514	2824	2659
515	2825	2650
516	2826	2640
517	2826	2630
518	2827	2620
519	2827	2610
520	2828	2600
521	2829	2590
522	2829	2580
523	2830	2571
524	2831	2561
525	2833	2553
526	2834	2543
527	2839	2538
528	2861	2547
529	2866	2541
530	2866	2532
531	2868	2523
532	2870	2514
533	2870	2504
534	2872	2496
535	2873	2487
536	2874	2478
537	2879	2472
538	2879	2463
539	2882	2455
540	2883	2446
541	2883	2436
542	2884	2427
543	2885	2418
544	2887	2411
545	2888	2401
546	2897	2399
547	2898	2390
548	2899	2382
549	2907	2378
550	2911	2372
551	2912	2363
552	2914	2356
553	2916	2347
554	2916	2338
555	2917	2329
556	2917	2320
557	2918	2311
558	2918	2302
559	2920	2294
560	2921	2285
561	2921	2277
562	2924	2270
563	2949	2280
564	2950	2271
565	2950	2262
566	2954	2256
567	2955	2247
568	2955	2238
569	2956	2230
570	2966	2228
571	2967	2220
572	3004	2239
573	3020	2241
574	3026	2236
575	3074	2262
576	3088	2264
577	3098	2262
578	3099	2253
579	3102	2246
580	3102	2237
581	3112	2235
582	3117	2229
583	3121	2223
584	3129	2219
585	3131	2212
586	3132	2203
587	3132	2194
588	3133	2186
589	3133	2177
590	3135	2169
591	3135	2161
592	3136	2152
593	3137	2144
594	3138	2136
595	3139	2127
596	3139	2119
597	3141	2111
598	3145	2105
599	3146	2097
600	3146	2089
601	3147	2080
602	3152	2075
603	3152	2067
604	3162	2065
605	3164	2057
606	3165	2049
607	3168	2042
608	3232	2075
609	3233	2067
610	3239	2062
611	3249	2060
612	3273	2066
613	3277	2060
614	3278	2052
615	3279	2044
616	3279	2036
617	3280	2027
618	3285	2022
619	3286	2014
620	3286	2006
621	3287	1997
622	3288	1989
623	3289	1982
624	3290	1974
625	3290	1966
626	3294	1959
627	3294	1951
628	3295	1943
629	3296	1935
630	3296	1927
631	3304	1924
632	3305	1916
633	3306	1908
634	3307	1900
635	3308	1893
636	3309	1886
637	3310	1878
638	3311	1870
639	3312	1863
640	3319	1858
641	3319	1851
642	3321	1844
643	3322	1836
644	3323	1829
645	3333	1826
646	3335	1819
647	3336	1812
648	3337	1804
649	3337	1797
650	3348	1795
651	3351	1788
652	3352	1781
653	3353	1774
654	3354	1767
655	3356	1760
656	3359	1753
657	3359	1746
658	3361	1739
659	3376	1739
660	3377	1732
661	3378	1724
662	3378	1717
663	3379	1710
664	3380	1702
665	3381	1695
666	3381	1688
667	3382	1681
668	3384	1674
669	3384	1667
670	3385	1659
671	3386	1653
672	3387	1646
673	3395	1642
674	3396	1635
675	3396	1628
676	3397	1621
677	3398	1614
678	3399	1606
679	3399	1599
680	3401	1593
681	3402	1586
682	3403	1579
683	3404	1572
684	3405	1565
685	3407	1559
686	3409	1553
687	3410	1546
688	3411	1539
689	3412	1533
690	3413	1526
691	3414	1519
692	3414	1512
693	3421	1508
694	3423	1502
695	3424	1495
696	3425	1489
697	3426	1482
698	3429	1476
699	3441	1474
700	3442	1468
701	3443	1461
702	3450	1457
703	3451	1451
704	3452	1444
705	3452	1437
706	3453	1431
707	3454	1424
708	3455	1418
709	3456	1411
710	3456	1405
711	3457	1398
712	3458	1391
713	3459	1385
714	3464	1380
715	3464	1374
716	3465	1367
717	3466	1361
718	3466	1354
719	3467	1348
720	3468	1342
721	3469	1335
722	3469	1329
723	3470	1323
724	3471	1316
725	3471	1310
726	3473	1304
727	3474	1298
728	3487	1296
729	3507	1297
730	3508	1290
731	3509	1284
732	3509	1278
733	3510	1272
734	3511	1265
735	3511	1259
736	3512	1253
737	3512	1247
738	3513	1241
739	3514	1234
740	3515	1228
741	3516	1222
742	3516	1216
743	3517	1210
744	3517	1204
745	3518	1198
746	3519	1191
747	3524	1187
748	3525	1181
749	3525	1175
750	3527	1169
751	3528	1163
752	3529	1157
753	3530	1151
754	3530	1145
755	3531	1139
756	3531	1133
757	3541	1130
758	3544	1125
759	3546	1120
760	3547	1114
761	3548	1108
762	3548	1102
763	3549	1096
764	3555	1092
765	3557	1086
766	3558	1080
767	3558	1075
768	3559	1069
769	3560	1063
770	3560	1057
771	3562	1052
772	3562	1046
773	3563	1040
774	3564	1034
775	3572	1031
776	3573	1025
777	3574	1020
778	3575	1014
779	3576	1008
780	3576	1002
781	3577	997
782	3578	991
783	3579	986
784	3582	981
785	3583	975
786	3584	970
787	3584	964
788	3585	958
789	3585	953
790	3590	948
791	3591	943
792	3592	937
793	3593	932
794	3594	926
795	3597	921
796	3598	916
797	3599	911
798	3601	906
799	3602	900
800	3603	895
801	3603	889
802	3604	884
803	3608	879
804	3619	876
805	3620	871
806	3621	866
807	3622	860
808	3622	855
809	3623	849
810	3624	844
811	3634	841
812	3634	836
813	3635	830
814	3635	825
815	3637	820
816	3637	814
817	3638	809
818	3639	804
819	3639	798
820	3640	793
821	3646	789
822	3646	784
823	3647	779
824	3648	773
825	3650	769
826	3651	763
827	3653	758
828	3653	753
829	3654	748
830	3655	743
831	3660	739
832	3662	734
833	3663	729
834	3695	730
835	3701	726
836	3703	721
837	3706	716
838	3707	711
839	3708	706
840	3715	702
841	3718	697
842	3721	693
843	3722	688
844	3723	682
845	3724	677
846	3724	672
847	3725	667
848	3732	663
849	3733	658
850	3733	653
851	3734	648
852	3744	645
853	3747	640
854	3748	635
855	3748	630
856	3750	625
857	3760	622
858	3762	617
859	3763	612
860	3764	607
861	3764	602
862	3765	597
863	3765	592
864	3766	587
865	3773	583
866	3774	578
867	3774	574
868	3776	569
869	3777	564
870	3777	559
871	3778	554
872	3779	549
873	3784	545
874	3785	540
875	3786	536
876	3787	531
877	3788	526
878	3789	521
879	3790	516
880	3792	512
881	3793	507
882	3794	502
883	3794	497
884	3810	495
885	3819	491
886	3822	486
887	3825	482
888	3825	477
889	3826	472
890	3833	468
891	3834	464
892	3835	459
893	3835	454
894	3841	450
895	3854	447
896	3856	442
897	3856	438
898	3857	433
899	3857	428
900	3858	423
901	3859	419
902	3859	414
903	3892	413
904	3898	409
905	3920	406
906	3921	402
907	3922	397
908	3923	392
909	3924	388
910	3954	386
911	3963	382
912	3964	377
913	3965	373
914	3968	368
915	3969	364
916	3970	359
917	3971	354
918	3973	350
919	3975	345
920	3976	341
921	3983	336
922	4040	337
923	4093	336
924	4119	334
925	4120	329
926	4188	329
927	4188	324
928	4230	323
929	4250	319
930	4251	315
931	4251	310
932	4255	305
933	4259	300
934	4277	297
935	4285	293
936	4286	288
937	4287	283
938	4288	278
939	4289	273
940	4289	268
941	4290	264
942	4291	259
943	4291	254
944	4296	250
945	4296	245
946	4298	240
947	4299	235
948	4300	231
949	4301	226
950	4302	221
951	4302	216
952	4303	212
953	4303	207
954	4304	202
955	4305	198
956	4305	193
957	4306	188
958	4308	184
959	4318	179
960	4318	175
961	4319	170
962	4321	166
963	4322	161
964	4322	156
965	4324	152
966	4324	147
967	4325	142
968	4325	138
969	4327	133
970	4328	129
971	4329	124
972	4332	120
973	4333	115
974	4348	111
975	4349	106
976	4352	102
977	4353	97
978	4355	93
979	4387	89
980	4416	85
981	4417	80
982	4419	76
983	4448	72
984	4452	67
985	4453	63
986	4455	58
987	4459	54
988	4460	49
989	4461	45
990	4462	40
991	4463	35
992	4477	31
993	4484	27
994	4488	22
995	4533	18
996	4534	13
997	4551	9
998	4551	4
999	4557	0
